ibgeCode,municipio,uf,tem_aeroporto,distancia_aeroporto_km,aeroporto_comercial_mais_proximo,tipo,fonte
1600501,Oiapoque,AP,True,85.92,,,
1600154,Pedra Branca do Amapari,AP,False,202.7,,,
1600535,Porto Grande,AP,False,90.15,,,
1600550,Pracuúba,AP,False,176.64,,,
1600600,Santana,AP,False,35.25,,,
1600055,Serra do Navio,AP,False,222.32,,,
1600709,Tartarugalzinho,AP,False,139.28,,,
1600808,Vitória do Jari,AP,False,61.31,,,
2900207,Abaré,BA,False,133.26,,,
2900108,Abaíra,BA,False,43.66,,,
2900306,Acajutiba,BA,False,80.48,,,
2900355,Adustina,BA,False,80.09,,,
2900603,Aiquara,BA,False,23.24,,,
2900702,Alagoinhas,BA,False,55.15,,,
2900801,Alcobaça,BA,False,24.29,,,
2900900,Almadina,BA,False,58.74,,,
2901007,Amargosa,BA,False,36.34,,,
2901106,Amélia Rodrigues,BA,False,31.64,,,
2901155,América Dourada,BA,False,35.48,,,
2901205,Anagé,BA,False,35.87,,,
2901304,Andaraí,BA,False,28.72,,,
2901353,Andorinha,BA,False,32.98,,,
2901403,Angical,BA,False,41.65,,,
2901502,Anguera,BA,False,31.34,,,
2901601,Antas,BA,False,82.76,,,
2901700,Antônio Cardoso,BA,False,32.53,,,
2901809,Antônio Gonçalves,BA,False,31.7,,,
2901908,Aporá,BA,False,73.1,,,
2901957,Apuarema,BA,False,35.48,,,
2902005,Aracatu,BA,False,78.27,,,
2902104,Araci,BA,False,64.74,,,
2902203,Aramari,BA,False,44.94,,,
2902252,Arataca,BA,False,46.16,,,
2902302,Aratuípe,BA,False,25.22,,,
2902054,Araçás,BA,False,75.38,,,
2902401,Aurelino Leal,BA,False,30.22,,,
2902500,Baianópolis,BA,False,86.17,,,
2902609,Baixa Grande,BA,False,61.24,,,
2902658,Banzaê,BA,False,59.49,,,
2902708,Barra,BA,True,25.49,,,
2902807,Barra da Estiva,BA,False,74.5,,,
2902906,Barra do Choça,BA,False,35.82,,,
2903003,Barra do Mendes,BA,False,75.87,,,
2903102,Barra do Rocha,BA,False,13.14,,,
2903201,Barreiras,BA,True,55.87,,,
2903235,Barro Alto,BA,False,56.55,,,
2903300,Barro Preto,BA,False,44.47,,,
2903276,Barrocas,BA,False,77.71,,,
2903409,Belmonte,BA,False,57.06,,,
2903508,Belo Campo,BA,False,32.69,,,
2903607,Biritinga,BA,False,58.88,,,
2903706,Boa Nova,BA,False,56.15,,,
2903805,Boa Vista do Tupim,BA,False,52.41,,,
2903904,Bom Jesus da Lapa,BA,True,2.75,,,
2903953,Bom Jesus da Serra,BA,False,68.27,,,
2904001,Boninal,BA,False,46.41,,,
2904050,Bonito,BA,False,56.88,,,
2904100,Boquira,BA,False,83.96,,,
2904209,Botuporã,BA,False,76.78,,,
2904407,Brejolândia,BA,False,75.18,,,
2904308,Brejões,BA,False,55.96,,,
2904506,Brotas de Macaúbas,BA,False,84.3,,,
2904605,Brumado,BA,False,88.14,,,
2904704,Buerarema,BA,False,32.18,,,
2904753,Buritirama,BA,True,17.09,,,
2904803,Caatiba,BA,False,26.18,,,
2904852,Cabaceiras do Paraguaçu,BA,False,35.35,,,
2904902,Cachoeira,BA,False,48.69,,,
2905008,Caculé,BA,False,56.91,,,
2905156,Caetanos,BA,False,64.78,,,
2905206,Caetité,BA,True,7.53,,,
2905305,Cafarnaum,BA,False,58.16,,,
2905404,Cairu,BA,False,23.43,,,
2905503,Caldeirão Grande,BA,False,38.58,,,
2905602,Camacan,BA,False,57.03,,,
2905800,Camamu,BA,False,22.49,,,
2905701,Camaçari,BA,False,29.63,,,
2905909,Campo Alegre de Lourdes,BA,False,77.98,,,
2906006,Campo Formoso,BA,False,76.11,,,
2906204,Canarana,BA,False,48.73,,,
2906303,Canavieiras,BA,False,34.99,,,
2906402,Candeal,BA,False,48.01,,,
2906501,Candeias,BA,False,31.82,,,
2906600,Candiba,BA,False,24.48,,,
2906808,Cansanção,BA,False,35.7,,,
2906824,Canudos,BA,False,54.38,,,
2906105,Canápolis,BA,False,35.07,,,
2906857,Capela do Alto Alegre,BA,False,99.55,,,
2906873,Capim Grosso,BA,False,64.71,,,
2906907,Caravelas,BA,False,14.97,,,
2906899,Caraíbas,BA,False,50.71,,,
2907004,Cardeal da Silva,BA,False,105.71,,,
2907103,Carinhanha,BA,False,79.58,,,
2907202,Casa Nova,BA,True,44.8,,,
2907301,Castro Alves,BA,True,9.66,,,
2907400,Catolândia,BA,False,39.32,,,
2907509,Catu,BA,False,55.27,,,
2907558,Caturama,BA,False,89.15,,,
2905107,Caém,BA,False,28.67,,,
2907608,Central,BA,False,34.87,,,
2907707,Chorrochó,BA,False,103.95,,,
2907905,Cipó,BA,True,4.21,,,
2908002,Coaraci,BA,False,52.57,,,
2908101,Cocos,BA,False,127.63,,,
2908200,Conceição da Feira,BA,False,35.4,,,
2908309,Conceição do Almeida,BA,False,24.22,,,
2908408,Conceição do Coité,BA,False,84.63,,,
2908507,Conceição do Jacuípe,BA,False,23.16,,,
2908606,Conde,BA,False,114.69,,,
2908705,Condeúba,BA,False,109.15,,,
2908804,Contendas do Sincorá,BA,False,84.37,,,
2908903,Coração de Maria,BA,False,12.99,,,
2909000,Cordeiros,BA,False,107.24,,,
2909109,Coribe,BA,False,49.16,,,
2909208,Coronel João Sá,BA,False,101.47,,,
2909307,Correntina,BA,False,123.93,,,
2909406,Cotegipe,BA,False,84.84,,,
2909505,Cravolândia,BA,False,59.4,,,
2909703,Cristópolis,BA,False,81.45,,,
2909604,Crisópolis,BA,False,54.95,,,
2909802,Cruz das Almas,BA,False,36.5,,,
2909901,Curaçá,BA,False,101.52,,,
2906709,Cândido Sales,BA,False,62.59,,,
2907806,Cícero Dantas,BA,False,68.36,,,
2910057,Dias d'Ávila,BA,False,34.2,,,
2910107,Dom Basílio,BA,False,86.1,,,
2910206,Dom Macedo Costa,BA,False,33.97,,,
2910008,Dário Meira,BA,False,41.02,,,
2910305,Elísio Medrado,BA,False,20.65,,,
2910404,Encruzilhada,BA,False,72.26,,,
2910503,Entre Rios,BA,False,94.44,,,
2910602,Esplanada,BA,False,111.36,,,
2910701,Euclides da Cunha,BA,False,40.15,,,
2910727,Eunápolis,BA,False,58.36,,,
2910776,Feira da Mata,BA,False,80.44,,,
2910800,Feira de Santana,BA,True,14.28,,,
2910859,Filadélfia,BA,False,23.49,,,
2910909,Firmino Alves,BA,False,53.04,,,
2911006,Floresta Azul,BA,False,73.55,,,
2911105,Formosa do Rio Preto,BA,True,63.65,,,
2910750,Fátima,BA,False,66.77,,,
2911204,Gandu,BA,False,48.26,,,
2911253,Gavião,BA,False,95.6,,,
2911303,Gentio do Ouro,BA,False,69.91,,,
2911402,Glória,BA,False,29.27,,,
2911501,Gongogi,BA,False,16.12,,,
2911600,Governador Mangabeira,BA,False,45.6,,,
2911659,Guajeru,BA,False,82.3,,,
2911709,Guanambi,BA,True,7.94,,,
2911808,Guaratinga,BA,False,90.13,,,
2911857,Heliópolis,BA,False,46.07,,,
2911907,Iaçu,BA,False,39.13,,,
2912004,Ibiassucê,BA,False,37.03,,,
2912103,Ibicaraí,BA,False,57.64,,,
2912202,Ibicoara,BA,False,39.78,,,
2912301,Ibicuí,BA,False,55.42,,,
2912400,Ibipeba,BA,False,44.71,,,
2912509,Ibipitanga,BA,False,101.43,,,
2912608,Ibiquera,BA,False,48.81,,,
2912707,Ibirapitanga,BA,False,29.62,,,
2912806,Ibirapuã,BA,False,34.13,,,
2912905,Ibirataia,BA,False,22.75,,,
2913002,Ibitiara,BA,False,104.24,,,
2913101,Ibititá,BA,False,27.4,,,
2913200,Ibotirama,BA,True,14.56,,,
2913309,Ichu,BA,False,59.1,,,
2913408,Igaporã,BA,False,27.61,,,
2913457,Igrapiúna,BA,False,36.82,,,
2913507,Iguaí,BA,False,65.15,,,
2913606,Ilhéus,BA,True,18.65,,,
2913705,Inhambupe,BA,False,70.42,,,
2913804,Ipecaetá,BA,False,47.14,,,
2913903,Ipiaú,BA,True,14.11,,,
2914000,Ipirá,BA,False,62.53,,,
2914109,Ipupiara,BA,False,86.49,,,
2914208,Irajuba,BA,False,48.17,,,
2914307,Iramaia,BA,False,50.1,,,
2914406,Iraquara,BA,False,42.23,,,
2914505,Irará,BA,False,23.58,,,
2914604,Irecê,BA,True,3.09,,,
2914653,Itabela,BA,False,56.39,,,
2914703,Itaberaba,BA,True,1.47,,,
2914802,Itabuna,BA,False,30.45,,,
2914901,Itacaré,BA,False,29.29,,,
2915007,Itaeté,BA,False,44.39,,,
2915106,Itagi,BA,False,30.32,,,
2915205,Itagibá,BA,False,17.67,,,
2915304,Itagimirim,BA,False,80.48,,,
2915353,Itaguaçu da Bahia,BA,False,75.34,,,
2915403,Itaju do Colônia,BA,False,59.43,,,
2915502,Itajuípe,BA,False,47.16,,,
2915601,Itamaraju,BA,False,58.81,,,
