cnpj,razaoSocial,nomeFantasia,matrizFilial,situacaoCadastral,cnaePrincipal,cnaeSecundarios,municipio,uf,capitalSocial,porte,motivoMatch
35675463000138,VERA CRUZ CONSULTORIA E PESQUISAS S/A,VERA CRUZ MONITORAMENTO E PESQUISA,MATRIZ,ATIVA,7020400,4530701;4530702;4530703;4619200;4663000;4672900;4681805;4732600;6202300;6462000;6463800;7119702;7120100;7210000;7490104,BRASILIA,DF,"1000000,00",05,PALAVRA_CHAVE_GR
36160766000180,LIKE RASTREADORES E MONITORAMENTO DE SISTEMAS LTDA,LIKE SOLUTIONS,MATRIZ,ATIVA,8020001,3312102;4321500;4322301;4322302;4322303;4330404;4614100;5320202;6319400;7420001;7711000;7733100;7810800;8211300;8219901;8219999;8299799,MANAUS,AM,"103900,00",01,PALAVRA_CHAVE_GR
36412733000180,MESEG MONITORAMENTO DE SISTEMA DE SEGURANCA LTDA,MESEG,MATRIZ,ATIVA,8020001,5320201;8020002,SALVADOR,BA,"106000,00",01,PALAVRA_CHAVE_GR
36470393000144,CASSIA CAMPOS DE CASTRO 84430249334,PRATSERV RASTREAMENTO,MATRIZ,ATIVA,4520007,,FEIRA DE SANTANA,BA,"5000,00",01,PALAVRA_CHAVE_GR
33955806000192,VIRTUAL SERVICE MONITORAMENTO E TECNOLOGIA LTDA,,MATRIZ,ATIVA,8011101,4618499;4651601;4651602;4751201;4752100;4759899;4789007;4789099;7733100;7739099;8020001;8020002;8111700;8211300;8599604,VITORIA,ES,"209000,00",01,PALAVRA_CHAVE_GR
37127012000191,EXITO XT CAPITAL CONSULTORIA E CORRETORA DE SEGUROS LTDA,EXITO XT CAPITAL GESTAO DE RISCOS E INVESTIMENTOS,MATRIZ,ATIVA,6622300,6629100;7020400,BRASILIA,DF,"10000,00",01,PALAVRA_CHAVE_GR
37450862000126,RC MONITORAMENTOS LTDA,RASTREIO ONLINE,MATRIZ,ATIVA,8020001,,SAO LUIS,MA,"30000,00",01,PALAVRA_CHAVE_GR
39354573000159,CENTRAL CAR COM. E IMPORTACAO DE REASTREADORES E ACESSORIOS LTDA,CENTRAL CAR RASTREADORES E ACESSORIOS,MATRIZ,ATIVA,8011101,4321500;4520001;4520003;4520007;4530703;4752100;8020001,BRASILIA,DF,"10000,00",01,PALAVRA_CHAVE_GR
39638852000144,VR SEGURANCA LTDA,VR SEGURANCA E MONITORAMENTO,MATRIZ,ATIVA,8211300,4789099;8020001;8020002;8230001,MANAUS,AM,"100000,00",01,PALAVRA_CHAVE_GR
40129786000166,BRENO HENRIQUE ANDRADE PINTO LTDA,MASTER SERVICOS DE RASTREAMENTO E LOCACOES,MATRIZ,ATIVA,8020001,4763605;5590699;7719501;7721700;7729202;7733100;8020002;8230001;9521500,MANAUS,AM,"104500,00",01,PALAVRA_CHAVE_GR
41802812000138,FRANCILENE DA CONCEICAO COSTA ARAUJO LTDA,QAP RASTREAMENTO,MATRIZ,ATIVA,4530703,4321500;4742300;4757100;9521500,TERESINA,PI,"50000,00",01,PALAVRA_CHAVE_GR
41198663000140,NATAL SAT MONITORAMENTO LTDA,NATAL SAT MONITORAMENTO LTDA,MATRIZ,ATIVA,8020001,4321500,NATAL,RN,"40000,00",01,PALAVRA_CHAVE_GR
42172717000160,AUTO TRACKER RASTREAMENTO AUTOMOTIVO LTDA,AUTO TRACKER RASTREAMENTO AUTOMOTIVO,MATRIZ,ATIVA,4520007,4321500;4530703;4751201;8020001;8020002,SAO LUIS,MA,"950000,00",01,PALAVRA_CHAVE_GR
42241681000120,A. LIMA DOS SANTOS LTDA,WS RASTREADORES,MATRIZ,ATIVA,8020001,3329599,MANAUS,AM,"100000,00",01,PALAVRA_CHAVE_GR
42296819000198,G4 MONITORAMENTO ELETRONICO LTDA,G4 MONITORAMENTO ELETRONICO,MATRIZ,ATIVA,8020001,4321500;4751201;4789099;5320201;5320202;8121400;8129000;8219999,BRASILIA,DF,"100000,00",01,PALAVRA_CHAVE_GR
15207849000299,C. N TRANSPORTES E SERVICOS LTDA,V & R TRANSPORTES E SERVICOS,FILIAL,ATIVA,4930202,4120400;4313400;4322303;4330499;4399101;4520001;4520002;4520003;4520004;4520005;4520006;4520007;4520008;4530703;4530704;4530705;4930204;5212500;5250804;6190699;7711000;8020001;8599604,NATAL,RN,"99800,00",01,CNAE_CARGA_TRANSPORTE
42822317000153,WS ATIVIDADES DE MONITORAMENTO DE SEGURANCA ELETRONICO LTDA,WS SEGURANCA ELETRONICA,MATRIZ,ATIVA,8020001,4321500;4322302;4322303;4330499;4615000;4687703;4753900;4759899;6190699;6209100;8111700;9521500,MANAUS,AM,"250000,00",03,PALAVRA_CHAVE_GR
43036065000108,WORKTRACK RASTREAMENTO E ASSISTENCIA 24 HORAS LTDA,WORKTRACK RASTREAMENTO E ASSISTENCIA 24 HORAS,MATRIZ,ATIVA,8020001,4520007;7711000,JOAO PESSOA,PB,"30000,00",03,PALAVRA_CHAVE_GR
32813729000173,CONEXAO SAT ATIVIDADES DE MONITORAMENTO DE SISTEMAS DE SEGURANCA ELETRONICO LTDA,W A DA SILVA SERVICOS,MATRIZ,ATIVA,4520007,8020001,MANAUS,AM,"12000,00",01,PALAVRA_CHAVE_GR
37276396000104,M. M. DA ROCHA LTDA,J M RASTREAMENTO VEICULAR,MATRIZ,ATIVA,4520007,2950600;4520003,MANAUS,AM,"100000,00",01,PALAVRA_CHAVE_GR
39415175000103,"M S DE ARAUJO SERVICOS EM SEGURANCA, LIMPEZA E ALUGUEL DE VEICULOS LTDA",MS RASTREAMENTO VEICULAR,MATRIZ,ATIVA,7711000,3314707;3314710;4211102;4322302;4330404;4330499;4399103;4723700;4923002;5620102;8011101;8020001;8111700;8121400;8129000;8130300;8630502;8630503;8650003,MANAUS,AM,"3500000,00",05,PALAVRA_CHAVE_GR
41309773000131,41.309.773 CAMILA SANTOS BARROS REZENDE,PRESENCA SERVICOS E MONITORAMENTO,MATRIZ,ATIVA,9521500,3312102;4751201;8020001,JOAO PESSOA,PB,"7000,00",01,PALAVRA_CHAVE_GR
43914283000190,MAPS RASTREAMENTO VEICULAR LTDA,MAPS RASTREAMENTO VEICULAR,MATRIZ,ATIVA,8020001,,NATAL,RN,"10000,00",01,PALAVRA_CHAVE_GR
44668946000104,C M S CAMELO MONITORAMENTO DE SISTEMA DE SEGURANCA,CENTRAL ALARME,MATRIZ,ATIVA,8020001,3314702;3314706;3314710;4321500;4322301;4520001;4649401;4649402;4651601;4669999;4742300;4751201;4752100;4753900;5229002;7119701;7319002;7732201;7733100;7739099;8111700;8121400;8129000,SAO LUIS,MA,"300000,00",01,PALAVRA_CHAVE_GR
44800424000106,SELECT AUTOCLUB ASSOCIACAO DE PROTECAO VEICULAR,SELECT AUTOCLUB,MATRIZ,ATIVA,8020001,,JOAO PESSOA,PB,"0,00",05,CNAE_CARGA_TRANSPORTE
44854704000105,AZEVEDO RASTREAMENTO LTDA,AZEVEDO RASTREAMENTO LTDA,MATRIZ,ATIVA,8020001,4520007;4530703,TERESINA,PI,"20000,00",01,PALAVRA_CHAVE_GR
45250048000196,ARJS - MONITORAMENTO ASSESSORIA E EVENTOS LTDA,ARJS - ASSESSORIA,MATRIZ,ATIVA,8020001,7319002;7319003;7319004;7410202;7733100;8129000;8211300,BRASILIA,DF,"100000,00",01,PALAVRA_CHAVE_GR
46486769000162,M. DOS SANTOS RIBEIRO LTDA,MARINHO RASTREAMENTO,MATRIZ,ATIVA,4520007,4752100;8011101;8020001,MANAUS,AM,"300000,00",01,PALAVRA_CHAVE_GR
47288307000101,LF RASTREAMENTO VEICULAR LTDA,TKS RASTREAMENTO,MATRIZ,ATIVA,9499500,9430800;9493600,MANAUS,AM,"20000,00",01,PALAVRA_CHAVE_GR
47757333000123,E C DOS SANTOS,FALCAO DOURADO MONITORAMENTO,MATRIZ,ATIVA,8020001,4759899,FEIRA DE SANTANA,BA,"30000,00",01,PALAVRA_CHAVE_GR
27953432000254,N N LIMA PIMENTEL,RAVENA RASTREAMENTO BEL,FILIAL,ATIVA,8020001,,BELEM,PA,"60000,00",01,PALAVRA_CHAVE_GR
49385655000114,MARQUES E PLINIO LANTERNAGEM E PINTURA LTDA,TIRA RISCO,MATRIZ,ATIVA,4520002,4511101;4511102;4512902;4541203;4541204;4542102,BRASILIA,DF,"100000,00",01,PALAVRA_CHAVE_GR
50341612000116,RR TRANSPORTES E SERVICOS LTDA,RR TRANSPORTES,MATRIZ,ATIVA,7911200,4120400;4322302;4512901;4530706;4923002;5320201;5320202;7711000;7729202;8011101;8020001;8111700;8121400;8129000;8412400,BRASILIA,DF,"200000,00",01,CNAE_CARGA_TRANSPORTE
50217821000152,JRN - TRANSPORTES E CONSTRUCOES LTDA,J R N SOLUCOES E CONSULTORIA,MATRIZ,ATIVA,4639701,1412601;2330302;3313901;3812200;4120400;4213800;4221903;4221904;4221905;4222701;4222702;4223500;4292801;4292802;4299501;4299599;4311801;4311802;4312600;4313400;4321500;4322301;4322302;4322303;4329101;4330401;4330402;4330403;4330404;4330405;4330499;4391600;4399101;4399103;4399105;4614100;4616800;4639702;4644301;4647801;4649404;4649409;4673700;4679699;4742300;4744099;4753900;4754701;4755501;4756300;4763601;4763602;4772500;4789007;4923002;4924800;4930201;4930204;5012201;5022001;5022002;5212500;5223100;5240199;5620101;5620102;5620103;6209100;7020400;7311400;7420001;7711000;7719501;7719599;7721700;7729202;7729203;7731400;7732201;7732202;7733100;7739003;7739099;7820500;7830200;8020001;8121400;8129000;8130300;8211300;8220200;8230001;8599604;9001906;9329899;9512600,MANAUS,AM,"1000000,00",01,CNAE_CARGA_TRANSPORTE
53972811000110,TIME VISION MONITORAMENTO LTDA,TIME VISION MONITORAMENTO,MATRIZ,ATIVA,8020001,4321500;4751201;8011101,BELEM,PA,"30000,00",01,PALAVRA_CHAVE_GR
54325752000151,ISADORA HELENA MOURA BARROS,CONECT RASTREAMENTO,MATRIZ,ATIVA,8020001,4329101;5911102;5911199;6391700;7312200;7319001;7319002;7319003;7319004;7319099;7420001;7490104;7490105;7711000;7739003;7739099;8230001;8291100;8541400;8599604;8599699;9001901;9001902;9001905;9001906;9001999;9003500;9319101,TERESINA,PI,"50000,00",01,PALAVRA_CHAVE_GR
54843810000139,DELTA SEGURANCA E MONITORAMENTO LTDA,DELTA SEGURANCA,MATRIZ,ATIVA,8011101,8020001;8020002;8111700;8211300;8299799,BRASILIA,DF,"200000,00",01,PALAVRA_CHAVE_GR
55456087000106,POSIGO RASTREAMENTO VEICULAR LTDA,POSIGO RASTREAMENTO VEICULAR,MATRIZ,ATIVA,8020001,,SALVADOR,BA,"50000,00",03,PALAVRA_CHAVE_GR
56136737000190,MASTERSEG MONITORAMENTO LIMPEZA E CONSERVACAO LTDA,MASTERSEG,MATRIZ,ATIVA,8020001,4751201;4752100;7739099;8111700;8121400;9512600,BELEM,PA,"50000,00",01,PALAVRA_CHAVE_GR
56419222000106,JEAN G GONCALVES COMERCIO E SERVICOS LTDA,ZERO RISCO,MATRIZ,ATIVA,4530703,4520001;4520002;4520003;4520004;4520005;4520006;4520007;4530705;4732600,SAO LUIS,MA,"10000,00",01,PALAVRA_CHAVE_GR
57054312000103,CHAVES & CARVALHO TRANSPORTES LTDA,CHAVES & CARVALHO TRANSPORTES,MATRIZ,ATIVA,4930201,4120400;4211101;4212000;4930202;5212500;7711000;7739099;8020001,TERESINA,PI,"200000,00",01,CNAE_CARGA_TRANSPORTE
57717531000117,ARAUJO GERENCIADORA DE COBRANCA LTDA,ARAUJO GERENCIADORA DE COBRANCA,MATRIZ,ATIVA,8291100,8599604,SAO LUIS,MA,"10000,00",01,PALAVRA_CHAVE_GR
