cnpj,razaoSocial,nomeFantasia,matrizFilial,situacaoCadastral,cnaePrincipal,cnaeSecundarios,municipio,uf,capitalSocial,porte,motivoMatch
23369577000251,KUHLMANN MONITORAMENTO AGRICOLA LTDA,KUHLMANN MONITORAMENTO AGRICOLA,FILIAL,ATIVA,7120100,0161099;7020400,SAPEZAL,MT,"10000000,00",05,PALAVRA_CHAVE_GR
23369577000332,KUHLMANN MONITORAMENTO AGRICOLA LTDA,KUHLMANN MONITORAMENTO AGRICOLA,FILIAL,ATIVA,7120100,0161099;7020400,PRIMAVERA DO LESTE,MT,"10000000,00",05,PALAVRA_CHAVE_GR
23369577000685,KUHLMANN MONITORAMENTO AGRICOLA LTDA,KUHLMANN MONITORAMENTO AGRICOLA,FILIAL,ATIVA,7120100,0161099;7020400,PASSO FUNDO,RS,"10000000,00",05,PALAVRA_CHAVE_GR
24977734000193,Q & G CONSTRUTORA DE OBRAS E TRANSPORTES LTDA,Q & G OBRAS,MATRIZ,ATIVA,4120400,4211102;4213800;4321500;4322301;4330401;4330403;4330404;4399101;4744099;4930202;7711000;8020001;8111700,SAO PAULO,SP,"180000,00",01,CNAE_CARGA_TRANSPORTE
14567714000190,INVIOCAR SERVICOS DE RASTREAMENTO ELETRONICO LTDA,INVIOCAR,MATRIZ,ATIVA,8020001,3321000;4751201;4752100;4757100;6202300;6209100;7020400;7739099;8211300,ERECHIM,RS,"110000,00",03,PALAVRA_CHAVE_GR
17097616000125,VIGZUL TECNOLOGIA E MONITORAMENTO S.A.,,MATRIZ,ATIVA,8020001,3321000;3329599;4649401;4669999;4759899;6202300;6462000;6463800;7020400;7739099;8299799;9521500;9609299,CAMPINAS,SP,"20140498,84",05,PALAVRA_CHAVE_GR
25132500000108,VITORIA SERVICOS LTDA,VITORIA MONITORAMENTO & PORTARIA,MATRIZ,ATIVA,8011101,8020001;8020002;8111700,NOVO HAMBURGO,RS,"120000,00",01,PALAVRA_CHAVE_GR
25158496000157,PROLINCON SERVICOS DE MONITORAMENTO LTDA,,MATRIZ,ATIVA,8020001,7490104;9521500,TUBARAO,SC,"200000,00",05,PALAVRA_CHAVE_GR
25158496000238,PROLINCON SERVICOS DE MONITORAMENTO LTDA,,FILIAL,ATIVA,8020001,9521500,ARARANGUA,SC,"200000,00",05,PALAVRA_CHAVE_GR
25250302000149,E M FRANCO SOLUCOES EM INSTALACAO E MANUTENCAO DE RASTREADORES LTDA,E M FRANCO SOLUCOES DE RASTREADORES,MATRIZ,ATIVA,4751201,4520007;4530706;4753900;6209100;9512600,GUARULHOS,SP,"100000,00",03,PALAVRA_CHAVE_GR
22172065000157,VIGITRACK RASTREAMENTO LTDA,VIGITRACK,MATRIZ,ATIVA,6190699,4651601;6201501;6202300;6209100;7733100;8020001,SANTA MARIA,RS,"200000,00",05,PALAVRA_CHAVE_GR
22172065000238,VIGITRACK RASTREAMENTO LTDA,VIGITRACK,FILIAL,ATIVA,6190699,4651601;6201501;6202300;6209100;7733100;8020001,PORTO ALEGRE,RS,"200000,00",05,PALAVRA_CHAVE_GR
12554268000154,J A ENTREGAS RAPIDAS LTDA,MELLENIO LOGISTICA,MATRIZ,ATIVA,5320202,8020001,TEREZOPOLIS DE GOIAS,GO,"40000,00",01,CNAE_CARGA_TRANSPORTE
11688533000124,TIBIRICA MONITORAMENTO LTDA,GUINCHO TIBIRICA E MONITORAMENTO,MATRIZ,ATIVA,5229002,4520001;4757100;4923001;8020001;8020002;9529102,RIBEIRAO PIRES,SP,"150000,00",01,PALAVRA_CHAVE_GR
12949162000150,CONSTRAN TRANSPORTES DE CARGA E ACABAMENTOS DE CONSTRUCAO LTDA,CONSTRAN SOLUCOES,MATRIZ,ATIVA,4679699,2330303;2330399;3811400;3812200;4211101;4213800;4292801;4292802;4299501;4311802;4312600;4313400;4319300;4321500;4322301;4322302;4322303;4330401;4330403;4330404;4330499;4391600;4399102;4399103;4399104;4399105;4399199;4511103;4511104;4511105;4511106;4530701;4530703;4541201;4541206;4614100;4623101;4635401;4639701;4641903;4642701;4642702;4645101;4646001;4646002;4647801;4649401;4649402;4649403;4649405;4649408;4649499;4651601;4651602;4662100;4664800;4669901;4672900;4682600;4686902;4689399;4691500;4693100;4723700;4742300;4744003;4753900;4757100;4759899;4763602;4763603;4763604;4781400;4782201;4784900;4789005;4930201;4930202;5829800;7711000;7719599;7732201;7732202;7739099;8020001;8121400;8122200;8129000;9601701,JOSE DE FREITAS,PI,"88000,00",03,CNAE_CARGA_TRANSPORTE
10945577000120,TRACKR-SEG MONITORAMENTO COM SEGUROS LTDA,,MATRIZ,ATIVA,8219999,4520007;8020001;8211300,SAO PAULO,SP,"20000,00",03,PALAVRA_CHAVE_GR
23611976000104,MYTEC & STARCAR RASTREAMENTO E MONITORAMENTO LTDA,STARCAR RASTREAMENTO E MONITORAMENTO,MATRIZ,ATIVA,8020001,6190699;6201501;6202300;6203100;7739099;8020002,BELO HORIZONTE,MG,"30000,00",01,PALAVRA_CHAVE_GR
25381896000127,SIS COMERCIO E SERVICOS LTDA,SIS RASTREAMENTO E MONITORAMENTO,MATRIZ,ATIVA,4752100,2512800;2539001;2542000;3101200;3329501;4221904;4321500;4322301;4322302;4330402;4330404;4330499;4645101;4649408;4649499;4729699;4742300;4744003;4751201;4753900;4754701;4754703;4757100;4761003;4772500;4773300;4789005;6190699;6209100;8020001;8020002;9512600,LINHARES,ES,"30000,00",01,PALAVRA_CHAVE_GR
19872421000130,GESAT RASTREAMENTO DE VEICULOS LTDA,GESAT SERVICOS E TELECOMUNICACOES,MATRIZ,ATIVA,4619200,4752100;8020001,CUIABA,MT,"30000,00",01,PALAVRA_CHAVE_GR
24659573000190,RODRIGUES TRANSPORTE VELOZ LTDA,VELOZ,MATRIZ,ATIVA,4923002,1622699;1813001;3299004;3314707;3702900;4120400;4211102;4213800;4221903;4292801;4292802;4299599;4311801;4311802;4313400;4319300;4321500;4322301;4322302;4330402;4330404;4330499;4399102;4399103;4399199;4618499;4729699;4741500;4743100;4744099;4751201;4754701;4755502;4781400;4929901;4930201;6110803;6190601;6190699;6201501;6311900;7111100;7112000;7119701;7420004;7420005;7711000;7719599;7732201;7732202;7733100;8020001;8121400;8129000;8130300;8211300;9511800,DUQUE DE CAXIAS,RJ,"88000,00",01,CNAE_CARGA_TRANSPORTE
25117414000126,GSM RODRIGUES INSTALACAO DE RASTREADORES LTDA,KAIROS INSTALACAO E MANUTENCAO DE RASTREADORES,MATRIZ,ATIVA,4520007,4757100,INDAIATUBA,SP,"88000,00",01,PALAVRA_CHAVE_GR
10551546000194,LITORAL FORTE MONITORAMENTO LTDA,LITORAL FORTE MONITORAMENTO,MATRIZ,ATIVA,8020001,4321500;4752100;4753900;7711000;7733100;7739099;8111700,SAO SEBASTIAO,SP,"50000,00",01,PALAVRA_CHAVE_GR
22315826000182,RONDON GERENCIAMENTO LOGISTICA MT LTDA,RONDON GERENCIAMENTO,MATRIZ,ATIVA,8020001,,CUIABA,MT,"320000,00",01,CNAE_CARGA_TRANSPORTE
11552055000120,F.COUTO CONSULTORIA ASSESSORIA COMERCIO E SERVICOS EM INFORMATICA LTDA,RASTREEI SISTEMA DE MONITORAMENTO E TELEMETRIA VEICULAR,MATRIZ,ATIVA,8020001,4751201;4753900,RIO DE JANEIRO,RJ,"50000,00",01,PALAVRA_CHAVE_GR
17264674000104,EDGLENIO CALADO DE ABRANTES SERVICO DE MONITORAMENTO LOCALIZACAO E RECUPERACAO DE VEICULOS,CALADO PRONTA RESPOSTA,MATRIZ,ATIVA,4520007,4530703;4541206;8020001,RIO DE JANEIRO,RJ,"2000,00",01,PALAVRA_CHAVE_GR
